col0,col1,col2,col3,col4,col5
147,87,103.0,89.0,79.0,118.0
102,55,57.0,63.0,81.0,235.0
35,25,26.0,46.0,66.0,146.0
12,14,12.0,32.0,61.0,82.0
14,9,15.0,34.0,67.0,8.0
7,34,33.0,41.0,63.0,0.0
6,19,40.0,48.0,60.0,7.0
6,28,46.0,51.0,42.0,6.0
11,64,83.0,64.0,38.0,8.0
18,121,103.0,66.0,57.0,12.0
27,184,93.0,103.0,65.0,16.0
0,0,3.0,0.0,0.0,3.0
0,0,0.0,0.0,0.0,0.0
9694 MS:2628 M:5 H:0,,,,,
20,2,9.0,4.0,0.0,4.0
102,32,21.0,49.0,16.0,5.0
13,4,0.0,8.0,52.0,6.0
15,9,13.0,16.0,14.0,25.0
0,0,0.0,0.0,0.0,0.0
148,87,103.0,88.0,79.0,118.0
103,55,57.0,62.0,81.0,236.0
35,24,25.0,46.0,66.0,145.0
20,5,11.0,32.0,61.0,82.0
5,13,25.0,34.0,74.0,20.0
7,35,34.0,40.0,57.0,7.0
6,20,40.0,48.0,61.0,7.0
6,29,46.0,51.0,43.0,6.0
12,63,83.0,64.0,38.0,8.0
18,121,103.0,66.0,57.0,12.0
31,176,91.0,103.0,54.0,15.0
0,0,0.0,0.0,3.0,0.0
0,0,0.0,0.0,0.0,0.0
9695 MS:2659 M:5 H:0,,,,,
19,2,9.0,4.0,0.0,4.0
96,26,21.0,49.0,16.0,5.0
21,5,0.0,13.0,48.0,2.0
13,9,13.0,18.0,17.0,26.0
0,0,0.0,0.0,0.0,0.0
148,87,102.0,88.0,79.0,117.0
104,55,56.0,62.0,81.0,236.0
35,24,25.0,45.0,66.0,145.0
12,13,16.0,40.0,59.0,88.0
5,12,9.0,36.0,80.0,8.0
6,35,34.0,40.0,57.0,6.0
6,20,41.0,48.0,61.0,7.0
7,29,46.0,52.0,42.0,6.0
11,64,83.0,64.0,38.0,8.0
27,127,98.0,71.0,52.0,12.0
26,185,103.0,96.0,71.0,27.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9696 MS:2690 M:5 H:0,,,,,
16,2,8.0,4.0,0.0,4.0
101,35,6.0,42.0,15.0,0.0
21,4,5.0,14.0,53.0,6.0
13,9,12.0,16.0,16.0,26.0
0,0,0.0,0.0,0.0,0.0
149,87,101.0,88.0,78.0,117.0
106,55,56.0,62.0,80.0,238.0
40,22,22.0,52.0,60.0,146.0
13,14,21.0,28.0,64.0,86.0
5,12,9.0,35.0,65.0,9.0
7,36,34.0,39.0,56.0,6.0
6,20,40.0,48.0,61.0,7.0
6,29,46.0,52.0,42.0,6.0
9,71,80.0,64.0,38.0,8.0
30,120,111.0,79.0,50.0,15.0
27,186,96.0,107.0,69.0,18.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9697 MS:2722 M:5 H:0,,,,,
2,7,15.0,0.0,1.0,0.0
99,32,21.0,50.0,16.0,7.0
20,5,5.0,15.0,54.0,6.0
12,8,11.0,16.0,15.0,26.0
0,0,0.0,0.0,0.0,0.0
150,87,102.0,89.0,77.0,116.0
105,42,49.0,62.0,80.0,239.0
35,21,21.0,37.0,65.0,144.0
11,13,10.0,27.0,59.0,79.0
4,12,8.0,34.0,64.0,8.0
6,35,32.0,39.0,56.0,6.0
5,19,39.0,46.0,61.0,6.0
0,27,45.0,52.0,42.0,5.0
13,64,82.0,68.0,40.0,6.0
19,125,107.0,70.0,58.0,12.0
26,188,98.0,109.0,65.0,16.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9699 MS:2784 M:5 H:0,,,,,
11,0,6.0,4.0,1.0,7.0
94,33,21.0,51.0,15.0,4.0
19,5,5.0,15.0,55.0,6.0
11,7,9.0,14.0,14.0,25.0
0,0,0.0,0.0,0.0,0.0
155,88,104.0,91.0,84.0,108.0
103,53,52.0,77.0,80.0,248.0
31,17,18.0,41.0,68.0,146.0
11,9,7.0,22.0,58.0,78.0
4,9,8.0,31.0,65.0,9.0
6,32,26.0,38.0,58.0,6.0
16,14,42.0,35.0,62.0,6.0
6,38,41.0,56.0,48.0,3.0
11,62,84.0,59.0,34.0,6.0
19,129,112.0,72.0,55.0,11.0
28,197,104.0,115.0,62.0,15.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9700 MS:2815 M:5 H:0,,,,,
12,1,5.0,4.0,0.0,5.0
94,36,20.0,51.0,16.0,5.0
20,5,5.0,15.0,56.0,7.0
12,7,9.0,13.0,13.0,24.0
0,0,0.0,0.0,0.0,0.0
161,94,104.0,96.0,80.0,112.0
97,52,51.0,66.0,86.0,243.0
28,15,16.0,41.0,70.0,146.0
10,7,7.0,19.0,57.0,75.0
4,7,7.0,29.0,65.0,9.0
13,17,21.0,36.0,59.0,5.0
2,20,40.0,39.0,70.0,16.0
4,20,42.0,46.0,38.0,4.0
10,58,81.0,54.0,30.0,5.0
19,129,113.0,73.0,51.0,10.0
29,199,106.0,117.0,53.0,13.0
0,0,0.0,0.0,0.0,0.0
7,0,1.0,7.0,0.0,1.0
9701 MS:2846 M:5 H:0,,,,,
589,544,306.0,304.0,55.0,825.0
333,288,55.0,823.0,568.0,562.0
256,292,48.0,58.0,72.0,32.0
5,0,0.0,266.0,1.0,774.0
8,768,0.0,862.0,560.0,535.0
10,768,0.0,18.0,775.0,773.0
7,0,0.0,15.0,15.0,0.0
884,256,256.0,512.0,512.0,768.0
758,0,256.0,686.0,643.0,647.0
137,768,256.0,74.0,827.0,54.0
65,256,0.0,785.0,781.0,12.0
11,0,0.0,776.0,774.0,6.0
3,256,256.0,0.0,0.0,5.0
4,0,0.0,772.0,268.0,17.0
770,512,0.0,257.0,524.0,535.0
769,0,0.0,2.0,781.0,285.0
5,768,0.0,262.0,554.0,825.0
518,256,0.0,272.0,111.0,602.0
9703 MS:2909 M:5 H:0,,,,,
12,2,6.0,6.0,0.0,0.0
101,59,25.0,67.0,21.0,4.0
19,17,20.0,16.0,63.0,4.0
9,10,11.0,31.0,13.0,31.0
0,0,0.0,0.0,0.0,0.0
164,141,155.0,168.0,128.0,120.0
38,38,45.0,89.0,117.0,235.0
8,9,10.0,28.0,75.0,130.0
7,0,5.0,12.0,50.0,60.0
3,7,0.0,18.0,59.0,0.0
2,6,10.0,25.0,53.0,4.0
2,9,19.0,27.0,52.0,4.0
1,14,27.0,25.0,20.0,1.0
4,39,47.0,25.0,9.0,0.0
7,121,94.0,65.0,18.0,3.0
16,139,107.0,76.0,17.0,3.0
3,33,75.0,19.0,4.0,11.0
0,0,0.0,0.0,0.0,0.0
9704 MS:2940 M:5 H:0,,,,,
12,2,7.0,6.0,1.0,0.0
97,57,31.0,41.0,20.0,4.0
18,24,5.0,25.0,48.0,6.0
8,9,8.0,17.0,16.0,24.0
0,0,0.0,0.0,0.0,0.0
102,107,130.0,178.0,128.0,109.0
13,14,23.0,67.0,103.0,197.0
7,0,6.0,21.0,58.0,104.0
0,7,7.0,0.0,51.0,55.0
2,3,5.0,25.0,58.0,12.0
0,3,6.0,15.0,43.0,3.0
0,9,15.0,26.0,63.0,5.0
1,15,26.0,25.0,22.0,0.0
3,43,50.0,26.0,10.0,0.0
9,128,92.0,66.0,0.0,0.0
11,156,119.0,76.0,11.0,2.0
2,34,82.0,20.0,2.0,0.0
0,0,0.0,0.0,0.0,0.0
9705 MS:2971 M:5 H:0,,,,,
17,0,7.0,4.0,0.0,0.0
86,59,30.0,22.0,23.0,15.0
15,5,4.0,12.0,25.0,7.0
6,3,5.0,11.0,11.0,17.0
0,0,0.0,0.0,0.0,0.0
61,48,72.0,151.0,110.0,90.0
7,6,11.0,45.0,98.0,180.0
7,0,0.0,19.0,42.0,93.0
2,1,4.0,16.0,45.0,26.0
1,2,6.0,29.0,59.0,13.0
0,2,6.0,11.0,32.0,2.0
1,7,13.0,23.0,55.0,4.0
0,16,25.0,24.0,19.0,0.0
1,43,52.0,19.0,9.0,0.0
8,138,105.0,65.0,28.0,0.0
10,161,125.0,76.0,11.0,1.0
2,31,74.0,18.0,1.0,0.0
0,0,0.0,0.0,0.0,0.0
9706 MS:3002 M:5 H:0,,,,,
15,0,11.0,7.0,0.0,3.0
88,54,21.0,26.0,23.0,0.0
12,4,4.0,11.0,22.0,6.0
5,2,3.0,11.0,12.0,19.0
0,0,0.0,0.0,0.0,0.0
50,36,67.0,145.0,106.0,90.0
0,3,2.0,41.0,96.0,172.0
4,2,5.0,24.0,57.0,92.0
2,1,4.0,16.0,49.0,42.0
1,2,8.0,31.0,63.0,13.0
0,2,7.0,13.0,31.0,2.0
0,8,15.0,23.0,60.0,5.0
8,8,28.0,26.0,22.0,1.0
2,46,63.0,27.0,19.0,12.0
8,140,103.0,67.0,13.0,1.0
10,157,124.0,77.0,10.0,1.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9707 MS:3033 M:5 H:0,,,,,
13,5,15.0,0.0,1.0,3.0
87,56,20.0,26.0,17.0,3.0
11,3,4.0,11.0,21.0,6.0
4,2,3.0,11.0,12.0,18.0
0,0,0.0,0.0,0.0,0.0
32,23,58.0,137.0,102.0,89.0
6,0,5.0,45.0,96.0,165.0
3,1,5.0,24.0,58.0,96.0
2,1,4.0,17.0,51.0,43.0
1,2,7.0,32.0,67.0,15.0
0,2,7.0,13.0,33.0,3.0
1,6,16.0,26.0,66.0,5.0
18,15,37.0,40.0,22.0,8.0
2,45,51.0,31.0,11.0,0.0
9,142,101.0,65.0,13.0,1.0
10,164,125.0,75.0,10.0,1.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9708 MS:3064 M:5 H:0,,,,,
14,4,9.0,6.0,2.0,5.0
89,57,21.0,25.0,17.0,3.0
11,3,3.0,9.0,20.0,5.0
6,2,4.0,12.0,13.0,19.0
0,0,0.0,0.0,0.0,0.0
47,31,43.0,133.0,103.0,75.0
7,4,12.0,46.0,90.0,167.0
3,1,5.0,22.0,60.0,96.0
2,1,5.0,18.0,51.0,41.0
1,2,7.0,35.0,70.0,15.0
0,2,8.0,14.0,35.0,3.0
0,0,16.0,16.0,61.0,6.0
0,17,30.0,27.0,24.0,6.0
2,45,52.0,31.0,10.0,0.0
8,145,102.0,65.0,13.0,1.0
10,158,120.0,71.0,10.0,0.0
0,0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0
9709 MS:3095 M:5 H:0,,,,,
14,4,9.0,5.0,2.0,4.0
89,55,20.0,23.0,14.0,3.0
10,2,3.0,10.0,18.0,5.0
5,1,4.0,12.0,11.0,16.0
0,3,7.0,0.0,3.0,0.0
44,24,59.0,135.0,84.0,83.0
8,4,13.0,47.0,88.0,173.0
3,1,6.0,22.0,61.0,95.0
2,0,4.0,19.0,51.0,43.0
2,2,8.0,37.0,71.0,16.0
0,0,1.0,14.0,36.0,3.0
2,6,4.0,24.0,67.0,0.0
1,19,31.0,28.0,23.0,1.0
2,46,51.0,30.0,10.0,0.0
8,146,103.0,65.0,13.0,0.0
9,157,118.0,69.0,9.0,1.0
0,0,0.0,0.0,0.0,0.0
4,4,0.0,4.0,8.0,0.0
9710 MS:3126 M:5 H:0,,,,,
14,3,10.0,5.0,2.0,6.0
88,57,20.0,23.0,16.0,3.0
11,3,3.0,10.0,19.0,6.0
16,1,11.0,8.0,11.0,16.0
0,14,0.0,6.0,12.0,0.0
40,25,57.0,129.0,97.0,81.0
7,4,13.0,47.0,86.0,168.0
3,1,6.0,23.0,60.0,97.0
3,1,5.0,20.0,52.0,44.0
3,0,8.0,38.0,72.0,16.0
0,3,15.0,0.0,35.0,7.0
1,7,18.0,26.0,69.0,6.0
1,20,31.0,28.0,24.0,1.0
2,47,50.0,32.0,11.0,0.0
8,145,104.0,63.0,13.0,1.0
9,154,114.0,66.0,10.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,1.0,0.0,0.0
9711 MS:3158 M:5 H:0,,,,,
16,4,9.0,6.0,2.0,3.0
87,56,20.0,23.0,15.0,3.0
16,0,4.0,10.0,20.0,6.0
5,0,5.0,11.0,20.0,20.0
0,0,0.0,0.0,0.0,0.0
43,25,60.0,132.0,95.0,78.0
7,4,13.0,47.0,88.0,164.0
3,1,5.0,23.0,61.0,99.0
3,1,5.0,20.0,52.0,45.0
2,2,19.0,47.0,68.0,23.0
0,3,8.0,14.0,36.0,3.0
0,8,19.0,27.0,68.0,6.0
1,20,32.0,27.0,24.0,1.0
2,46,51.0,31.0,12.0,0.0
8,145,102.0,62.0,13.0,1.0
15,159,105.0,71.0,7.0,1.0
0,1,3.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0
9712 MS:3189 M:5 H:0,,,,,
16,4,10.0,6.0,3.0,6.0
90,55,20.0,24.0,16.0,3.0
8,2,8.0,16.0,19.0,12.0
6,2,4.0,13.0,23.0,15.0
0,0,0.0,0.0,0.0,0.0
41,26,62.0,133.0,98.0,82.0
7,4,12.0,46.0,89.0,165.0
3,1,5.0,23.0,61.0,99.0
11,14,0.0,27.0,48.0,46.0
2,2,26.0,29.0,79.0,31.0
0,2,8.0,14.0,36.0,3.0
0,8,19.0,28.0,69.0,6.0
1,20,33.0,28.0,24.0,1.0
1,48,52.0,32.0,11.0,0.0
0,145,100.0,62.0,13.0,1.0
11,149,102.0,63.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9713 MS:3220 M:5 H:0,,,,,
15,3,10.0,5.0,2.0,6.0
94,64,18.0,29.0,8.0,3.0
9,10,16.0,8.0,28.0,16.0
6,2,5.0,12.0,12.0,16.0
0,0,0.0,0.0,0.0,0.0
42,25,66.0,134.0,96.0,83.0
7,4,12.0,49.0,91.0,167.0
0,7,3.0,25.0,62.0,101.0
4,1,8.0,23.0,42.0,47.0
2,3,10.0,42.0,74.0,16.0
0,2,9.0,14.0,36.0,3.0
0,8,20.0,27.0,68.0,6.0
1,20,34.0,28.0,24.0,1.0
0,48,53.0,32.0,11.0,0.0
0,146,96.0,58.0,12.0,0.0
9,156,104.0,64.0,8.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9714 MS:3251 M:5 H:0,,,,,
14,11,0.0,5.0,2.0,3.0
101,54,28.0,36.0,13.0,11.0
10,2,4.0,10.0,21.0,6.0
6,2,5.0,12.0,12.0,16.0
0,0,0.0,0.0,0.0,0.0
41,23,65.0,133.0,94.0,80.0
0,4,13.0,49.0,91.0,172.0
3,17,3.0,31.0,63.0,97.0
3,1,7.0,22.0,54.0,48.0
2,2,10.0,43.0,74.0,16.0
0,2,10.0,15.0,37.0,3.0
1,7,19.0,28.0,69.0,6.0
1,19,34.0,29.0,24.0,1.0
2,56,55.0,18.0,15.0,0.0
9,151,101.0,60.0,13.0,0.0
8,160,103.0,61.0,8.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9715 MS:3282 M:5 H:0,,,,,
0,1,11.0,0.0,0.0,3.0
86,54,20.0,21.0,1.0,0.0
10,2,4.0,10.0,19.0,5.0
7,3,5.0,12.0,12.0,16.0
0,0,0.0,0.0,0.0,0.0
42,22,67.0,135.0,99.0,84.0
6,0,13.0,47.0,96.0,170.0
4,1,7.0,40.0,62.0,108.0
4,1,7.0,23.0,55.0,49.0
2,2,10.0,44.0,75.0,17.0
0,2,9.0,15.0,36.0,3.0
0,8,21.0,29.0,71.0,6.0
16,18,41.0,24.0,24.0,1.0
3,63,49.0,40.0,26.0,0.0
9,151,100.0,60.0,12.0,0.0
9,154,99.0,61.0,8.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9716 MS:3313 M:5 H:0,,,,,
16,4,11.0,7.0,7.0,0.0
86,58,21.0,22.0,16.0,3.0
9,2,4.0,11.0,19.0,5.0
6,3,5.0,13.0,12.0,16.0
0,0,0.0,0.0,0.0,0.0
32,23,64.0,133.0,100.0,81.0
7,4,12.0,48.0,87.0,174.0
3,1,6.0,24.0,63.0,103.0
4,2,8.0,23.0,55.0,49.0
2,2,11.0,45.0,74.0,17.0
0,2,10.0,15.0,36.0,3.0
8,0,21.0,28.0,69.0,6.0
0,28,41.0,28.0,30.0,8.0
1,48,55.0,33.0,10.0,0.0
9,150,100.0,60.0,11.0,0.0
8,147,95.0,56.0,7.0,0.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9717 MS:3345 M:5 H:0,,,,,
17,4,11.0,6.0,2.0,4.0
84,58,21.0,22.0,16.0,3.0
9,3,4.0,10.0,18.0,5.0
7,3,6.0,13.0,13.0,17.0
0,5,0.0,0.0,0.0,0.0
47,10,71.0,143.0,86.0,83.0
7,4,13.0,50.0,92.0,170.0
3,1,6.0,25.0,62.0,104.0
3,1,8.0,23.0,56.0,49.0
2,3,12.0,46.0,75.0,17.0
0,3,9.0,16.0,37.0,3.0
0,8,16.0,25.0,70.0,0.0
1,21,35.0,29.0,24.0,1.0
2,48,54.0,32.0,11.0,0.0
8,153,100.0,57.0,12.0,0.0
8,146,90.0,55.0,7.0,0.0
0,0,0.0,0.0,0.0,0.0
4,2,0.0,3.0,0.0,0.0
9718 MS:3376 M:5 H:0,,,,,
16,4,11.0,6.0,3.0,6.0
86,59,21.0,22.0,16.0,3.0
10,3,4.0,10.0,19.0,5.0
2,3,5.0,13.0,13.0,17.0
7,7,0.0,1.0,7.0,0.0
40,23,70.0,142.0,99.0,81.0
7,4,13.0,50.0,93.0,170.0
3,1,6.0,25.0,63.0,104.0
3,1,7.0,22.0,56.0,49.0
2,3,11.0,45.0,76.0,17.0
0,0,8.0,16.0,32.0,3.0
0,8,20.0,27.0,64.0,0.0
1,21,35.0,30.0,22.0,1.0
2,47,52.0,32.0,10.0,0.0
8,152,100.0,58.0,12.0,0.0
8,146,94.0,58.0,8.0,0.0
0,3,0.0,0.0,0.0,0.0
11,0,3.0,8.0,0.0,3.0
9719 MS:3407 M:5 H:0,,,,,
17,4,11.0,6.0,2.0,5.0
88,58,21.0,23.0,15.0,3.0
10,3,4.0,10.0,19.0,6.0
0,1,7.0,0.0,13.0,16.0
0,0,0.0,1.0,0.0,0.0
42,25,70.0,145.0,99.0,79.0
7,4,13.0,50.0,93.0,177.0
4,1,7.0,25.0,63.0,101.0
3,1,7.0,22.0,55.0,49.0
1,8,5.0,46.0,76.0,17.0
7,2,16.0,24.0,36.0,8.0
0,8,21.0,28.0,72.0,6.0
1,20,34.0,29.0,23.0,1.0
2,47,53.0,31.0,11.0,0.0
9,151,98.0,57.0,12.0,1.0
0,150,94.0,58.0,8.0,0.0
3,7,0.0,3.0,7.0,0.0
0,0,0.0,0.0,0.0,7.0
9722 MS:3500 M:5 H:0,,,,,
18,5,12.0,6.0,2.0,3.0
120,64,31.0,31.0,9.0,7.0
19,23,2.0,15.0,31.0,0.0
12,9,9.0,15.0,13.0,17.0
0,0,0.0,0.0,0.0,0.0
145,102,118.0,141.0,95.0,81.0
41,27,28.0,53.0,85.0,162.0
5,7,0.0,19.0,48.0,83.0
6,5,7.0,6.0,45.0,41.0
4,6,11.0,45.0,70.0,15.0
1,9,14.0,19.0,37.0,3.0
3,15,27.0,28.0,65.0,6.0
1,18,32.0,23.0,19.0,0.0
8,36,42.0,23.0,8.0,0.0
10,104,78.0,47.0,16.0,6.0
12,114,75.0,45.0,7.0,1.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9723 MS:3531 M:5 H:0,,,,,
24,16,11.0,15.0,0.0,5.0
121,67,42.0,26.0,26.0,16.0
21,8,6.0,12.0,22.0,6.0
15,11,9.0,17.0,16.0,20.0
0,0,0.0,0.0,0.0,0.0
162,125,130.0,152.0,103.0,86.0
49,43,26.0,55.0,88.0,167.0
15,0,7.0,27.0,35.0,83.0
7,6,7.0,19.0,51.0,41.0
4,6,12.0,45.0,70.0,16.0
3,13,15.0,21.0,37.0,3.0
3,18,30.0,29.0,68.0,6.0
0,18,32.0,25.0,22.0,1.0
7,47,32.0,18.0,11.0,0.0
12,106,81.0,51.0,14.0,3.0
13,117,77.0,46.0,8.0,1.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9724 MS:3563 M:5 H:0,,,,,
18,4,4.0,6.0,2.0,0.0
121,65,26.0,33.0,20.0,5.0
21,8,6.0,12.0,22.0,6.0
16,11,9.0,17.0,16.0,19.0
0,0,0.0,0.0,0.0,0.0
166,130,133.0,146.0,94.0,83.0
68,48,32.0,62.0,88.0,157.0
6,4,6.0,18.0,49.0,92.0
8,7,8.0,19.0,50.0,40.0
4,7,11.0,43.0,72.0,17.0
4,15,18.0,24.0,39.0,4.0
3,19,34.0,31.0,69.0,7.0
0,23,47.0,11.0,23.0,0.0
5,47,48.0,27.0,11.0,1.0
11,105,77.0,52.0,14.0,2.0
13,121,81.0,50.0,9.0,1.0
0,0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0
9725 MS:3594 M:5 H:0,,,,,
18,5,14.0,9.0,3.0,8.0
118,68,28.0,39.0,22.0,5.0
22,8,5.0,12.0,25.0,6.0
16,11,9.0,17.0,17.0,22.0
0,0,0.0,0.0,0.0,0.0
169,132,136.0,139.0,97.0,72.0
70,41,37.0,71.0,72.0,152.0
5,4,6.0,19.0,44.0,71.0
7,6,8.0,19.0,48.0,43.0
